type,savings,contract_total,contract_description,grant_description,providing_agency,vendor,full_details
grant,"$1,698,234.64","$3,007,322",NA,Louis Stokes New STEM Pathways and Research Alliance: USM LSAMP,"NATIONAL SCIENCE FOUNDATION
",grant to university of maryland baltimore county,"grant to university of maryland baltimore county
agency: national science foundation
$1,698,234.64
savings
$3,007,322
total grant
louis stokes new stem pathways and research alliance: usm lsamp"
grant,"$1,907,771.91","$2,743,850",NA,HIGHLY-EFFICIENT MULTI-EFFECT DRYING SYSTEMS DRIVEN BY HEAT PUMPS,"DEPARTMENT OF ENERGY
","grant to university of maryland, college park","grant to university of maryland, college park
agency: department of energy
$1,907,771.91
savings
$2,743,850
total grant
highly-efficient multi-effect drying systems driven by heat pumps"
grant,"$2,152,120","$2,499,236",NA,War Termination Processes and Prospects,"DEPARTMENT OF DEFENSE
",grant to university of maryland,"grant to university of maryland
agency: department of defense
$2,152,120
savings
$2,499,236
total grant
war termination processes and prospects"
grant,"$826,798.1","$2,407,266",NA,Resilient HIV Implementation Science with Sexual and Gender Minority Youths using Evidence (RISE) Clinical Research Center,"DEPARTMENT OF HEALTH AND HUMAN SERVICES
",grant to university of maryland baltimore,"grant to university of maryland baltimore
agency: department of health and human services
$826,798.1
savings
$2,407,266
total grant
resilient hiv implementation science with sexual and gender minority youths using evidence (rise) clinical research center"
grant,"$746,462.53","$2,233,774",NA,Synergistic epidemics of non-communicable diseases stigma depression and material insecurities among sexual and gender minorities living with HIV in Nigeria,"DEPARTMENT OF HEALTH AND HUMAN SERVICES
",grant to university of maryland baltimore,"grant to university of maryland baltimore
agency: department of health and human services
$746,462.53
savings
$2,233,774
total grant
synergistic epidemics of non-communicable diseases stigma depression and material insecurities among sexual and gender minorities living with hiv in nigeria"
grant,"$1,643,029","$1,643,029",NA,SMART COLD CLIMATE ROOFTOP HEAT PUMP WITH LOW-GWP REFRIGERANT,"DEPARTMENT OF ENERGY
","grant to university of maryland, college park","grant to university of maryland, college park
agency: department of energy
$1,643,029
savings
$1,643,029
total grant
smart cold climate rooftop heat pump with low-gwp refrigerant"
grant,"$722,203.5","$1,583,250",NA,A randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for Black men who have sex with men,"DEPARTMENT OF HEALTH AND HUMAN SERVICES
",grant to university of maryland baltimore,"grant to university of maryland baltimore
agency: department of health and human services
$722,203.5
savings
$1,583,250
total grant
a randomized clinical trial of client-centered care coordination to improve pre-exposure prophylaxis use for black men who have sex with men"
grant,"$304,448","$1,565,732",NA,Climate Change and Alternative Governance,"DEPARTMENT OF DEFENSE
",grant to university of maryland,"grant to university of maryland
agency: department of defense
$304,448
savings
$1,565,732
total grant
climate change and alternative governance"
grant,"$231,162.95","$1,512,798",NA,The AGEP Alliance State System Model to Transform the Hiring Practices and Career Success of Tenure Track Historically Underrepresented Minority Faculty in Biomedical Sciences,"NATIONAL SCIENCE FOUNDATION
",grant to university of maryland baltimore county,"grant to university of maryland baltimore county
agency: national science foundation
$231,162.95
savings
$1,512,798
total grant
the agep alliance state system model to transform the hiring practices and career success of tenure track historically underrepresented minority faculty in biomedical sciences"
grant,"$888,690.4","$1,467,395",NA,ComPASS Health Equity Research Hub at UMB,"DEPARTMENT OF HEALTH AND HUMAN SERVICES
",grant to university of maryland baltimore,"grant to university of maryland baltimore
agency: department of health and human services
$888,690.4
savings
$1,467,395
total grant
compass health equity research hub at umb"
grant,"$1,195,667.8","$1,420,490",NA,"NEXT GENERATION LIQUID-TO-REFRIGERANT HEAT EXCHANGERS FOR HEAT PUMPS, WATER HEATERS, AND REFRIGERATION SYSTEMS","DEPARTMENT OF ENERGY
","grant to university of maryland, college park","grant to university of maryland, college park
agency: department of energy
$1,195,667.8
savings
$1,420,490
total grant
next generation liquid-to-refrigerant heat exchangers for heat pumps, water heaters, and refrigeration systems"
grant,"$434,030.51","$1,350,000",NA,Septic to Sewer,"ENVIRONMENTAL PROTECTION AGENCY
",grant to university of maryland - office of research adminstration,"grant to university of maryland - office of research adminstration
agency: environmental protection agency
$434,030.51
savings
$1,350,000
total grant
septic to sewer"
grant,"$190,072.45","$1,172,781",NA,Collaborative Research: Accessible Computational Thinking in Elementary Science Classes within and across Culturally and Linguistically Diverse Contexts,"NATIONAL SCIENCE FOUNDATION
","grant to university of maryland, college park","grant to university of maryland, college park
agency: national science foundation
$190,072.45
savings
$1,172,781
total grant
collaborative research: accessible computational thinking in elementary science classes within and across culturally and linguistically diverse contexts"
grant,"$1,073,590.51","$1,074,964",NA,"LSAMP BD: University of Maryland, Baltimore County, USM LSAMP","NATIONAL SCIENCE FOUNDATION
",grant to university of maryland baltimore county,"grant to university of maryland baltimore county
agency: national science foundation
$1,073,590.51
savings
$1,074,964
total grant
lsamp bd: university of maryland, baltimore county, usm lsamp"
grant,"$288,257.96","$998,969",NA,Quantitative Research Methods for STEM Education Scholars Program,"NATIONAL SCIENCE FOUNDATION
","grant to university of maryland, college park","grant to university of maryland, college park
agency: national science foundation
$288,257.96
savings
$998,969
total grant
quantitative research methods for stem education scholars program"
grant,"$193,431","$994,789",NA,Social Impacts of Climate Change,"DEPARTMENT OF DEFENSE
",grant to university of maryland,"grant to university of maryland
agency: department of defense
$193,431
savings
$994,789
total grant
social impacts of climate change"
grant,"$522,500","$990,000",NA,Semantic Foundations and Formal Methods for Evolutionary System-of-System Architectures,"DEPARTMENT OF DEFENSE
",grant to university of maryland,"grant to university of maryland
agency: department of defense
$522,500
savings
$990,000
total grant
semantic foundations and formal methods for evolutionary system-of-system architectures"
grant,"$237,305.49","$987,764",NA,"Understanding When Diversity, Equity and Inclusion (DEI) Work ""Counts"" in Faculty Evaluation","NATIONAL SCIENCE FOUNDATION
","grant to university of maryland, college park","grant to university of maryland, college park
agency: national science foundation
$237,305.49
savings
$987,764
total grant
understanding when diversity, equity and inclusion (dei) work ""counts"" in faculty evaluation"
grant,"$499,148.47","$933,423",NA,The Role of Testosterone on Mediating Sex and Gender Influences on Chronic Orofacial Pain Conditions,"DEPARTMENT OF HEALTH AND HUMAN SERVICES
",grant to university of maryland baltimore,"grant to university of maryland baltimore
agency: department of health and human services
$499,148.47
savings
$933,423
total grant
the role of testosterone on mediating sex and gender influences on chronic orofacial pain conditions"
grant,"$751,519.87","$813,628",NA,CAIG: An AI-based Approach to Quantifying and Explaining Uncertainty and Inequity in Geoscience,"NATIONAL SCIENCE FOUNDATION
","grant to university of maryland, college park","grant to university of maryland, college park
agency: national science foundation
$751,519.87
savings
$813,628
total grant
caig: an ai-based approach to quantifying and explaining uncertainty and inequity in geoscience"
grant,"$99,148.71","$812,798",NA,The AGEP Alliance State System Model to Transform the Hiring Practices and Career Success of Tenure Track Historically Underrepresented Minority Faculty in Biomedical Sciences,"NATIONAL SCIENCE FOUNDATION
","grant to university of maryland, college park","grant to university of maryland, college park
agency: national science foundation
$99,148.71
savings
$812,798
total grant
the agep alliance state system model to transform the hiring practices and career success of tenure track historically underrepresented minority faculty in biomedical sciences"
grant,"$237,444.83","$796,885",NA,A Diagnostic Package for Chemical Mechanisms- Terms and conditions-Major,"ENVIRONMENTAL PROTECTION AGENCY
",grant to university of maryland - office of research adminstration,"grant to university of maryland - office of research adminstration
agency: environmental protection agency
$237,444.83
savings
$796,885
total grant
a diagnostic package for chemical mechanisms- terms and conditions-major"
grant,"$75,859.53","$780,000",NA,SaTC: CORE: Medium: Learning Code(s): Community-Centered Design of Automated Content Moderation,"NATIONAL SCIENCE FOUNDATION
","grant to university of maryland, college park","grant to university of maryland, college park
agency: national science foundation
$75,859.53
savings
$780,000
total grant
satc: core: medium: learning code(s): community-centered design of automated content moderation"
grant,"$664,583","$679,917",NA,Collaborative Research: Developing a Culturally Responsive Community of Practice to Build Equitable Pathways to Graduate STEM Education,"NATIONAL SCIENCE FOUNDATION
","grant to university of maryland, college park","grant to university of maryland, college park
agency: national science foundation
$664,583
savings
$679,917
total grant
collaborative research: developing a culturally responsive community of practice to build equitable pathways to graduate stem education"
grant,"$299,909.91","$599,948",NA,INCLUDES DDLP: Creating Opportunities in the Mathematical Sciences through Equity and INclusion (COME-IN),"NATIONAL SCIENCE FOUNDATION
","grant to university of maryland, college park","grant to university of maryland, college park
agency: national science foundation
$299,909.91
savings
$599,948
total grant
includes ddlp: creating opportunities in the mathematical sciences through equity and inclusion (come-in)"
grant,"$148,047.44","$551,881",NA,"Race, Religion, and STEM: Examining the Intersections for Black Students","NATIONAL SCIENCE FOUNDATION
","grant to university of maryland, college park","grant to university of maryland, college park
agency: national science foundation
$148,047.44
savings
$551,881
total grant
race, religion, and stem: examining the intersections for black students"
grant,"$21,240.71","$499,998",NA,Community-Defined Measures to Bridge Health Equity Gaps for COVID-19: Small Town and Rural Needs,"DEPARTMENT OF HEALTH AND HUMAN SERVICES
",grant to university of maryland baltimore,"grant to university of maryland baltimore
agency: department of health and human services
$21,240.71
savings
$499,998
total grant
community-defined measures to bridge health equity gaps for covid-19: small town and rural needs"
grant,"$204,322.35","$496,070",NA,Inverting Colonial Archival Authority: Increasing Access for Indigenous Communities in SNAC,"INSTITUTE OF MUSEUM AND LIBRARY SERVICES
","grant to university of maryland, college park","grant to university of maryland, college park
agency: institute of museum and library services
$204,322.35
savings
$496,070
total grant
inverting colonial archival authority: increasing access for indigenous communities in snac"
grant,"$335,643.16","$485,350",NA,SBP: CAREER: Inferior and foreign racial stereotypes give rise to exploitative and exclusionary discrimination,"NATIONAL SCIENCE FOUNDATION
","grant to university of maryland, college park","grant to university of maryland, college park
agency: national science foundation
$335,643.16
savings
$485,350
total grant
sbp: career: inferior and foreign racial stereotypes give rise to exploitative and exclusionary discrimination"
grant,"$152,374.95","$458,151",NA,"Crowdsourced Data: Accuracy, Accessibility, Authority","INSTITUTE OF MUSEUM AND LIBRARY SERVICES
","grant to university of maryland, college park","grant to university of maryland, college park
agency: institute of museum and library services
$152,374.95
savings
$458,151
total grant
crowdsourced data: accuracy, accessibility, authority"
grant,"$211,565.17","$429,788",NA,CAREER: Socio-Algorithmic Foundations of Trustworthy Recommendations,"NATIONAL SCIENCE FOUNDATION
","grant to university of maryland, college park","grant to university of maryland, college park
agency: national science foundation
$211,565.17
savings
$429,788
total grant
career: socio-algorithmic foundations of trustworthy recommendations"
grant,"$127,165","$414,425",NA,"PROJECT SUMMARY In this emergency R21 effort we propose to implement a set of novel studies designed to improve our fundamental understanding of SARS-CoV-2 aerobiology. Through a combination of theoretical, experimental, and epidemiological data, there is emerging consensus that respiratory aerosols play a primary role in the transmission of COVID-19. However, despite the importance of understanding the fundamental mechanisms involved in the airborne transmission route, a number of basic questions central to SARS-CoV-2 aerobiology remain unanswered. In particular, the distribution of SARS-CoV-2 particles within different aerosol size populations has not yet been studied in detail, nor is there data available to predict the viability and infectivity of individual airborne virus particles within different aerosol populations. Furthermore, it is not currently known whether the virus tends to be uniformly distributed within a given aerosol population or clustered within a small number of aerosol droplets, an essential question for understanding the quantum of infection for COVID-19 transmission. To address these challenges, we propose a novel analytical approach combining efficient sampling of exhaled breath, high resolution fractionation of aerosol ensembles, and coupled analysis of inactive and infective virus particles within the collected aerosol fractions through a combination of RT-PCR and viral plaque assays. Significantly, aerosol fractionation will be performed using an Aerodynamic Aerosol Classifier as a unique technology for isolating monodisperse aerosol populations. In addition, a new technique for discretizing the collected aerosol particles will be implemented using a thermo-responsive hydrogel for aerosol deposition, allowing the particles to be delivered to cell culture while remaining spatially isolated and elucidating virus distribution and clustering within a given size fraction. The combined data sets resulting from the proposed studies will provide a first view of the distribution and conformation of SARS-CoV-2 within respiratory aerosols, and the relationships between aerosol properties (size, virus content, virus distribution, and clustering) and downstream infectivity. We anticipate that the improved understanding of aerosolized virus infectivity emerging from these studies will illuminate fundamental aspects of COVID-19 airborne transmission and allow us to identify the quantum of infection associated with SARS-CoV-2, thus supporting accurate modeling of transmission dynamics and guiding improved recommendations for PPE, room ventilation, and sanitation protocols to enhance intervention and minimize transmission of the virus.","DEPARTMENT OF HEALTH AND HUMAN SERVICES
",grant to university of maryland,"grant to university of maryland
agency: department of health and human services
$127,165
savings
$414,425
total grant
project summary in this emergency r21 effort we propose to implement a set of novel studies designed to improve our fundamental understanding of sars-cov-2 aerobiology. through a combination of theoretical, experimental, and epidemiological data, there is emerging consensus that respiratory aerosols play a primary role in the transmission of covid-19. however, despite the importance of understanding the fundamental mechanisms involved in the airborne transmission route, a number of basic questions central to sars-cov-2 aerobiology remain unanswered. in particular, the distribution of sars-cov-2 particles within different aerosol size populations has not yet been studied in detail, nor is there data available to predict the viability and infectivity of individual airborne virus particles within different aerosol populations. furthermore, it is not currently known whether the virus tends to be uniformly distributed within a given aerosol population or clustered within a small number of aerosol droplets, an essential question for understanding the quantum of infection for covid-19 transmission. to address these challenges, we propose a novel analytical approach combining efficient sampling of exhaled breath, high resolution fractionation of aerosol ensembles, and coupled analysis of inactive and infective virus particles within the collected aerosol fractions through a combination of rt-pcr and viral plaque assays. significantly, aerosol fractionation will be performed using an aerodynamic aerosol classifier as a unique technology for isolating monodisperse aerosol populations. in addition, a new technique for discretizing the collected aerosol particles will be implemented using a thermo-responsive hydrogel for aerosol deposition, allowing the particles to be delivered to cell culture while remaining spatially isolated and elucidating virus distribution and clustering within a given size fraction. the combined data sets resulting from the proposed studies will provide a first view of the distribution and conformation of sars-cov-2 within respiratory aerosols, and the relationships between aerosol properties (size, virus content, virus distribution, and clustering) and downstream infectivity. we anticipate that the improved understanding of aerosolized virus infectivity emerging from these studies will illuminate fundamental aspects of covid-19 airborne transmission and allow us to identify the quantum of infection associated with sars-cov-2, thus supporting accurate modeling of transmission dynamics and guiding improved recommendations for ppe, room ventilation, and sanitation protocols to enhance intervention and minimize transmission of the virus."
grant,"$143,855.9","$399,698",NA,Launching the TALENT Network to Promote the Training of Archival & Library Educators w. iNnovative Technologies,"INSTITUTE OF MUSEUM AND LIBRARY SERVICES
","grant to university of maryland, college park","grant to university of maryland, college park
agency: institute of museum and library services
$143,855.9
savings
$399,698
total grant
launching the talent network to promote the training of archival & library educators w. innovative technologies"
grant,"$396,210","$396,210",NA,Collaborative Research: Developing a Culturally Responsive Community of Practice to Build Equitable Pathways to Graduate STEM Education,"NATIONAL SCIENCE FOUNDATION
",grant to university of maryland eastern shore,"grant to university of maryland eastern shore
agency: national science foundation
$396,210
savings
$396,210
total grant
collaborative research: developing a culturally responsive community of practice to build equitable pathways to graduate stem education"
grant,"$72,941.78","$379,957",NA,"Libraries, Integration, and New Americans: Understanding immigrant acculturative stress","INSTITUTE OF MUSEUM AND LIBRARY SERVICES
","grant to university of maryland, college park","grant to university of maryland, college park
agency: institute of museum and library services
$72,941.78
savings
$379,957
total grant
libraries, integration, and new americans: understanding immigrant acculturative stress"
grant,"$7,818.13","$351,259",NA,Collaborative Research: An Evidence-Based Approach Towards Technology Workforce Expansion by Increasing Female Participation in STEM Entrepreneurship,"NATIONAL SCIENCE FOUNDATION
","grant to university of maryland, college park","grant to university of maryland, college park
agency: national science foundation
$7,818.13
savings
$351,259
total grant
collaborative research: an evidence-based approach towards technology workforce expansion by increasing female participation in stem entrepreneurship"
grant,"$349,589","$349,589",NA,A project to develop and test new scalable approaches to reparative metadata using the Social Networks and Archival Context (SNAC) platform as a model for facilitating Indigenous archival discovery and description.,"NATIONAL ENDOWMENT FOR THE HUMANITIES
","grant to university of maryland, college park","grant to university of maryland, college park
agency: national endowment for the humanities
$349,589
savings
$349,589
total grant
a project to develop and test new scalable approaches to reparative metadata using the social networks and archival context (snac) platform as a model for facilitating indigenous archival discovery and description."
grant,"$11,279.67","$331,839",NA,EAGER: DCL: SaTC: Enabling Interdisciplinary Collaboration: Improving Human Discernment of Audio Deepfakes via Multi-level Information Augmentation,"NATIONAL SCIENCE FOUNDATION
",grant to university of maryland baltimore county,"grant to university of maryland baltimore county
agency: national science foundation
$11,279.67
savings
$331,839
total grant
eager: dcl: satc: enabling interdisciplinary collaboration: improving human discernment of audio deepfakes via multi-level information augmentation"
grant,"$322,532","$322,532",NA,"Digitization of 100,000 pages of Maryland newspapers, published prior to 1963, as part of the state’s continuing participation in the National Digital Newspaper Program (NDNP). This phase would focus on papers from the colonial period and early nineteenth century, the <em>Jewish Times</em>, and titles covering Prince George’s County in the 1940s and ’50s.","NATIONAL ENDOWMENT FOR THE HUMANITIES
","grant to university of maryland, college park","grant to university of maryland, college park
agency: national endowment for the humanities
$322,532
savings
$322,532
total grant
digitization of 100,000 pages of maryland newspapers, published prior to 1963, as part of the state’s continuing participation in the national digital newspaper program (ndnp). this phase would focus on papers from the colonial period and early nineteenth century, the <em>jewish times</em>, and titles covering prince george’s county in the 1940s and ’50s."
grant,"$253,707.7","$289,223",NA,From Canvas to Community: Unlocking the African American Art Archive,"INSTITUTE OF MUSEUM AND LIBRARY SERVICES
","grant to university of maryland, college park","grant to university of maryland, college park
agency: institute of museum and library services
$253,707.7
savings
$289,223
total grant
from canvas to community: unlocking the african american art archive"
grant,"$249,999","$249,999",NA,The Hatchlings Project: Community-Library Partnerships to Reduce Childhood Literacy Inequities,"INSTITUTE OF MUSEUM AND LIBRARY SERVICES
","grant to university of maryland, college park","grant to university of maryland, college park
agency: institute of museum and library services
$249,999
savings
$249,999
total grant
the hatchlings project: community-library partnerships to reduce childhood literacy inequities"
